drug_id	drug_name	drug_synonyms	drug_cas_number	drug_brands	drug_type	drug_groups	drug_categories	target_count
DB00282	Pamidronate	Acide pamidronique [INN-French], Acido pamidronico [INN-Spanish], Acidum pamidronicum [INN-Latin], Pamidronate Disodium, Pamidronic acid	40391-99-9	Amidronate, Aminomux, Aredia	small molecule	approved	Antineoplastic Agents, Anti-inflammatory Agents, Bisphosphonates, Bone Density Conservation Agents	2
DB00283	Clemastine	Clemastina [INN-Spanish], Clemastine Fumarate, Clemastinum [INN-Latin]	15686-51-8	Meclastin, Mecloprodin, Tavist, Tavist-1	small molecule	approved	Antipruritics, Anti-Allergic Agents, Histamine H1 Antagonists	1
DB00284	Acarbose	N/A	56180-94-0	Glucobay, Prandase, Precose	small molecule	approved	Hypoglycemic Agents, Enzyme Inhibitors	4
DB00285	Venlafaxine	Venlafaxina [INN-Spanish], Venlafaxine [INN:Ban], Venlafaxinum [INN-Latin]	93413-69-5	Effexor, Effexor XR, Elafax	small molecule	approved	Antidepressants, Analgesics, Serotonin Uptake Inhibitors, Antidepressive Agents, Second-Generation	3
DB00286	Conjugated Estrogens	Estrogens, Estrone Estrone Hydrogen Sulfate, Estrone Hydrogen Sulfate, Estrone Sodium Sulfate, Estrone Sulfate, Estrone Sulfate Sodium, Estrone Sulphate, Estrone-sulfate, Oestrone Sulphate, Sodium Estrone Sulfate	438-67-5	Conestoral, Evex, Hyhorin, Morestin, Par Estro, Premarin, Premarin tabs, Premarin Vaginal, Prempro, Prempro/Premphase	small molecule	approved	Estrogens	1
DB00287	Travoprost	N/A	157283-68-6	Travatan, Travatan Z	small molecule	approved	Antihypertensive Agents, Ophthalmologicals, Antiglaucoma preparations and miotics, Prostaglandin analogues	1
DB00288	Amcinonide	N/A	51022-69-6	Cyclocort	small molecule	approved	Corticosteroids, topical	2
DB00289	Atomoxetine	Tomoxetina [Spanish], Tomoxetine, Tomoxetine [INN], Tomoxetinum [Latin]	82248-59-7	Strattera	small molecule	approved	Antidepressants, Adrenergic Uptake Inhibitors, Central Nervous System Agents	2
DB00290	Bleomycin	Bleocin, Bleomicin, Bleomicina [INN-Spanish], Bleomycin A2, Bleomycin sulfate, Bleomycine [INN-French], Bleomycinum [INN-Latin], BLM	11056-06-7	Blenoxane, Bleo	small molecule	approved	Antimetabolites, Antibiotics, Antineoplastic	3
DB00291	Chlorambucil	Chlocambucil, Chloraminophen, Chloraminophene, Chlorbutin, Chlorbutine, Chloroambucil, Chlorobutin, Chlorobutine, Phenylbutyric Acid Nitrogen Mustard	305-03-3	Ambochlorin, Amboclorin, Ecloril, Elcoril, Leukeran, Leukeran Tablets, Leukersan, Leukoran, Linfolizin, Linfolysin, Pepstatin	small molecule	approved	Antineoplastic Agents, Antineoplastic Agents, Alkylating	1
DB00292	Etomidate	Etomidic acid	33125-97-2	Amidate, Hypnomidate	small molecule	approved	Hypnotics and Sedatives, Anesthetics, Intravenous	2
DB00293	Raltitrexed	ZD-1694, ZD1694	112887-68-0	Tomudex	small molecule	approved	Antineoplastic Agents, Antimetabolites, Enzyme Inhibitors, Folic Acid Antagonists, Antimetabolites, Antineoplastic	2
DB00294	Etonogestrel	N/A	54048-10-1	Implanon	small molecule	approved	Contraceptives, Contraceptive Agents, Female	2
DB00295	Morphine	(-)-Heroin hydrochloride, (-)-Morphine, D-(-)-Morphine, Diacetylmorphine hydrochloride, Diamorphine hydrochloride, Heroin hydrochloride, Heroine hydrochloride, Morphin, Morphina, Morphine Sulfate, Morphinum, O,O'-Diacetylmorphine hydrochloride	57-27-2	Astramorph PF, Avinza, Depodur, Dulcontin, Duramorph PF, Duromorph, Epimorph, Kadian, l-Morphine, M-Eslon, M.O.S, Meconium, Morfina, Morphia, Morphine Extra-Forte, Morphine Forte, Morphine H.P, Morphinism, Morphitec, Morphium, Moscontin, Ms Contin, MS/L, MS/S, MSIR, Nepenthe, OMS Concentrate, Oramorph SR, Ospalivina, Rescudose, RMS Uniserts, Roxanol, Roxanol 100, Roxanol UD, Statex Drops	small molecule	approved	Narcotics, Analgesics, Opiate Agonists, Analgesics, Opioid	3
DB00296	Ropivacaine	Ropivacaina [INN-Spanish], Ropivacaina [Spanish], Ropivacaine [INN], Ropivacainum [INN-Latin], S-Ropivacaine	84057-95-4	Naropin	small molecule	approved	Anesthetics, Local Anesthetics, Anesthetics, Local	1
DB00297	Bupivacaine	(+-)-Bupivacaine, Bloqueina, Bupivacaina [INN-Spanish], Bupivacaine HCL, Bupivacaine HCL KIT, Bupivacainum [INN-Latin], cBupivacaine, DL-Bupivacaine, DUR-843, LAC-43	2180-92-9	Anekain, Bupivan, Carbostesin, Marcaina, Marcaine, Marcaine HCL, Sensorcaine, Sensorcaine-MPF	small molecule	approved	Anesthetics, Local	2
DB00298	Dapiprazole	N/A	72822-12-9	Rev-Eyes	small molecule	approved	Ophthalmologicals, Adrenergic alpha-Antagonists, Antimydriatics, Antipsychotic Agents	3
DB00299	Penciclovir	PE2, Penciclovirum [INN-Latin]	39809-25-1	Denavir	small molecule	approved	Antiviral Agents	2
DB00300	Tenofovir	D,L-Tenofovir, PMPA, TDF, Tenofovir disoproxil, Tenofovir disoproxil fumarate	147127-20-6	Apropovir, Viread	small molecule	approved	Anti-HIV Agents, Nucleoside and Nucleotide Reverse Transcriptase Inhibitors, Reverse Transcriptase Inhibitors	1
DB00301	Flucloxacillin	Floxacillin, Flucloxacilina [INN-Spanish], Flucloxacillin Sodium, Flucloxacillin-Sodium, Flucloxacilline [INN-French], Flucloxacillinum [INN-Latin]	5250-39-5	Floxapen, Fluclox, Sesamol	small molecule	approved	Anti-Bacterial Agents, Penicillins	1
DB00302	Tranexamic Acid	Tranexamsaeure, tranexmic acid, Tranhexamic acid, Trans AMCHA, trans-4-aminomethylcyclohexane-1-carboxylic acid, trans-Amcha, trans-Tranexamic acid	1197-18-8	Amcha, Amikapron, Amstat, Anvitoff, Carxamin, Cyclocapron, Cyklokapron, Emorhalt, Frenolyse, Mastop, Rikavarin, Rikavarin-S, Tamcha, Tranexan, Transamin, Trasamlon, Ugurol	small molecule	approved	Antifibrinolytic Agents	1
DB00303	Ertapenem	N/A	153832-46-3	Invanz	small molecule	approved	Anti-Bacterial Agents, Antibacterial Agents	8
DB00304	Desogestrel	Desogestrelum [INN-Latin]	54024-22-5	Cerazette	small molecule	approved	Contraceptives, Oral, Synthetic, Progestins	2
DB00305	Mitomycin	7-Amino-9&alpha;-methoxymitosane, Mitamycin, MMC	50-07-7	Ametycin, Ametycine, Mit-C, Mito-C, Mitocin-C, Mitomycin (TN), Mitomycin C, Mitomycin-C, Mitomycinum, Mitomycinum C, Mitomycyna C [Polish], Mitosol, Mitozytrex, Muamycin, Mutamycin, Mytomycin, Mytozytrex	small molecule	approved	Nucleic Acid Synthesis Inhibitors, Antibiotics, Antineoplastic, Alkylating Agents, Cross-Linking Reagents	1
DB00306	Talbutal	5-Allyl-5-sec-butylbarbituric acid, sec-Butyl allyl barbituric acid	115-44-6	Latusate, Lotusate, Profundol	small molecule	illicit, approved	Analgesics	10
DB00307	Bexarotene	N/A	153559-49-0	Targret, Targretin, Targretin-gel, Targretyn, Targrexin	small molecule	approved	Anticarcinogenic Agents	3
DB00308	Ibutilide	Ibutilida [INN-Spanish], Ibutilide Fumarate, Ibutilidum [INN-Latin]	122647-32-9	Corvert	small molecule	approved	Anti-Arrhythmia Agents	10
DB00309	Vindesine	Desacetylvinblastine Amide Sulfate, Vindesine Sulfate	59917-39-4	DAVA, Eldesine, Eldisine	small molecule	approved	Antineoplastic Agents, Antineoplastic Agents, Phytogenic, Tubulin Modulators	1
DB00310	Chlorthalidone	Chlorothalidone, Chlorphthalidolone, Chlorphthalidone, Chlortalidone, Chlorthalidon	77-36-1	Higroton, Hydro-Long, Hygroton, Igroton, Isoren, Natriuran, Oradil, Phthalamodine, Phthalamudine, Renon, Saluretin, Thalitone, Zambesil	small molecule	approved	Antihypertensive Agents, Diuretics, Sodium Chloride Symporter Inhibitors	1
DB00311	Ethoxzolamide	6-Ethoxy-1,3-benzothiazole-2-sulfonamide, Ethoxazolamide, Ethoxyzolamide, Etoxzolamide	452-35-7	Cardrase, Diuretic C, Ethamide, Glaucotensil, Redupresin	small molecule	approved	Diuretics, Carbonic Anhydrase Inhibitors	4
DB00312	Pentobarbital	Pentabarbital, Pentabarbitone, Pentobarbital Sodium, Pentobarbitone, Pentobarbiturate, Pentobarbituric acid, Sodium Pentobarbital	76-74-4	Dorsital, Ethaminal, Mebubarbital, Mebumal, Nebralin, Nembutal, Nembutal Sodium, Neodorm, Rivadorm	small molecule	approved	Hypnotics and Sedatives, Adjuvants, Anesthesia, GABA Modulators, Barbiturates	10
DB00313	Valproic Acid	2-propylvaleric acid, Di-n-propylacetic acid, Di-n-propylessigsaure, Dipropylacetic acid, n-DPA	99-66-1	Alti-Valproic, Avugane, Baceca, Convulex, Delepsine, Depacon, Depakene, Depakine, Depakote, Deproic, Dom-Valproic, Epilex, Epilim, Epival, Ergenyl, Med Valproic, Mylproin, Novo-Valproic, Nu-Valproic, Penta-Valproic, Sprinkle, Stavzor, Valcote, Valparin	small molecule	approved	Anticonvulsants, Enzyme Inhibitors, Antimanic Agents, GABA Agents	3
DB00314	Capreomycin	Capastat, Capastat sulfate, Capreomycin sulfate, Capreomycin sulphate	11003-38-6	Ogostal	small molecule	approved	Anti-Bacterial Agents, Antibiotics, Antitubercular	3
DB00315	Zolmitriptan	ZMT	139264-17-8	AscoTop, Zomig, Zomig Rapimelt, Zomigon	small molecule	approved	Vasoconstrictor Agents, Anti-inflammatory Agents, Anti-migraine Agents, Selective Serotonin Agonists, Serotonin Agonists	4
DB00316	Acetaminophen	Acetaminofen, APAP, Paracetamol, Paracetamolo, Paracetanol	103-90-2	Abenol, Abensanil, Acamol, Accu-Tap, Acephen, Aceta Elixir, Aceta Tablets, Acetagesic, Acetalgin, Actamin, Actimol, Algotropyl, Alpiny, Alpinyl, Alvedon, Amadil, Aminofen, Anacin-3, Anaflon, Anapap, Anelix, Anhiba, Apacet, Apadon, Apamide, Atasol, Banesin, Bayer Select, Bickie-mol, Calpol, Captin, Cetadol, Clixodyne, Conacetol, Dafalgan, Dapa X-S, Darvocet, Datril, Dimindol, Dirox, Disprol, Doliprane, Dolprone, Drixoral Plus, Dularin, Dymadon, Dypap, Elixodyne, Enelfa, Eneril, Eu-Med, Exdol, Febridol, Febrilix, Febrinol, Febro-Gesic, Febrolin, Fendon, Feverall, Fevor, Finimal, Gelocatil, Genapap, Genebs, Hedex, Homoolan, Injectapap, Janupap, Korum, Lestemp, Liquagesic, Liquiprin, Lonarid, Lyteca, Momentum, Multin, Napafen, Naprinol, Nealgyl, Nebs, Neopap, Neotrend, Nobedon, Oraphen-PD, Ortensan, Pacemo, Painex, Paldesic, Panadol, Panaleve, Panasorb, Panets, Panex, Panofen, Papa-Deine, Paracet, Parapan, Paraspen, Parelan, Parmol, Pasolind, Pasolind N, Pedric, Phenaphen, Phenaphen Caplets, Phendon, Prompt, Pyrinazine, Redutemp, Rivalgyl, Robigesic, Rounox, Salzone, Servigesic, SK-Apap, Snaplets-FR, St. Joseph Fever Reducer, Suppap, Synalgos-Dc-A, Tabalgin, Talacen, Tapanol, Tapar, Tavist Allergy/Sinus/Headache, Temlo, Tempanal, Tempra, Tibinide, Tibizide, Tisin, Tisiodrazida, Tizide, Tralgon, Tussapap, Tylenol, Valadol, Valgesic, Valorin, Valorin Extra	small molecule	approved	Analgesics, Non-Narcotic, Antipyretics	2
DB00317	Gefitinib	N/A	184475-35-2	Iressa, Irressat	small molecule	approved	Antineoplastic Agents, Protein Kinase Inhibitors	1
DB00318	Codeine	Codeine anhydrous, L-Codeine, Methylmorphine, Morphine monomethyl ether, Norcodeine, N-Methyl, Norcodine, N-Methyl	76-57-3	Codicept, Coducept	small molecule	illicit, approved	Narcotics, Analgesics, Opiate Agonists, Antitussives, Analgesics, Opioid, Antitussive Agents	3
DB00319	Piperacillin	Piperacillin Anhydrous	66258-76-2	Pipracil	small molecule	approved	Anti-Bacterial Agents, Penicillins	4
DB00320	Dihydroergotamine	9,10-dihydro-ergotamine, Dihidroergotamina [INN-Spanish], Dihydroergotamine mesylate, Dihydroergotamine methanesulfonate, Dihydroergotamine monomethanesulfonate, Dihydroergotaminum [INN-Latin]	6190-39-2	Agit, Angionorm, D.H.E., D.H.E. 45, Dergotamine, DET MS, DHE-45, Diergo, Dihydergot, Dirgotarl, Endophleban, Ergomimet, Ergont, Ergotonin, Ikaran, Migranal, Morena, Orstanorm, Tonopres, Verladyn	small molecule	approved	Vasoconstrictor Agents, Analgesics, Sympatholytics, Anti-migraine Agents, Dopamine Agonists, Analgesics, Non-Narcotic	4
DB00321	Amitriptyline	Amitriprolidine, Amitriptylin, Amitriptyline HCL, Amitriptyline Hydrochloride, Amitryptiline, Amitryptyline, Amytriptiline	50-48-6	Adepress, Adepril, Amitid, Amitril, Damilan, Damilen, dAmitriptyline, Elanil, Elavil, Endep, Flavyl, Horizon, Lantron, Laroxil, Laroxyl, Lentizol, Proheptadiene, Redomex, Saroten, Sarotex, Seroten, Sylvemid, Triptanol, Triptilin, Triptisol, Tryptanol, Tryptizol	small molecule	approved	Adrenergic Uptake Inhibitors, Analgesics, Non-Narcotic, Antidepressive Agents, Tricyclic	21
DB00322	Floxuridine	5 Fluorodeoxyuridine, 5FDU, Deoxyfluorouridine, FDUR, FDURD, Floxiridina [INN-Spanish], Floxuridin, Floxuridinum [INN-Latin], Fluorodeoxyuridine, Fluoruridine Deoxyribose	50-91-9	FUDR	small molecule	approved	Antimetabolites, Antineoplastics, Antimetabolites, Antineoplastic	1
DB00323	Tolcapone	N/A	134308-13-7	Tasmar	small molecule	approved, withdrawn	Central Nervous System Agents, Antiparkinson Agents, Antidyskinetics, Enzyme Inhibitors	1
DB00324	Fluorometholone	Fluormetholon, Fluormetholone, Fluoromethalone, FML	426-13-1	Cortilet, Delmeson, Efflumidex, Flarex, Fluaton, Flumetholon, Fluor-op, FML Forte, FML Liquifilm, Loticort, Oxylone, Trilcin, Ursnon	small molecule	approved	Anti-inflammatory Agents, Anti-Allergic Agents, Glucocorticoids	1
DB00325	Nitroprusside	Disodium nitroprusside dihydrate, Sodium nitroferricyanide dihydrate, Sodium Nitroprusside, Sodium nitroprusside dihydrate	15078-28-1	Nipride, Nitropress	small molecule	approved	Antihypertensive Agents, Vasodilator Agents, Nitric Oxide Donors, Indicators and Reagents	1
DB00326	Calcium Gluceptate	Calcium glucoheptonate, Trimethylene chlorobromide	29039-00-7	Calcium Stanley	small molecule	approved	Antihypocalcemic Agents, Antihypermagnesemic Agents, Electrolyte replenisher, Nutritional supplement, mineral	0
DB00327	Hydromorphone	Dihydromorfinon [Czech], Dihydromorphinone, Hidromorfona [INN-Spanish], Hydromorfona [Spanish], Hydromorphon, Hydromorphone HCL, Hydromorphonum [INN-Latin]	466-99-9	Dilaudid, Dilaudid Oros, Dilaudid-hp, DiMo, Dimorphone, Hymorphan, Idromorfone, Laudacon, Laudicon, Novolaudon, Palladone, Paramorphan	small molecule	illicit, approved	Narcotics, Analgesics, Opioid	3
DB00328	Indomethacin	IMN, Indometacine, Indometacyna, Indomethacine, Indomethacinum, Indomethancin, Indomethazine, Indomethine, Indometicina	53-86-1	Amuno, Apo-Indomethacin, Arthrexin, Artracin, Artrinovo, Artrivia, Bonidin, Bonidon, Bonidon Gel, Catlep, Chibro-Amuno, Chrono-Indicid, Chrono-Indocid, Confortid, Dolcidium, Dolcidium Pl, Dolovin, Durametacin, Elmetacin, Flexin Continus, Hicin, Idomethine, Imbrilon, Inacid, Indacin, Indaflex, Indameth, Indmethacine, Indo-Lemmon, Indo-Phlogont, Indo-Rectolmin, Indo-Spray, Indo-Tablinen, Indocid, Indocid Pda, Indocid Sr, Indocin, Indocin I.V, Indocin I.V., Indocin Sr, Indolar Sr, Indomecol, Indomed, Indomee, Indomethegan, Indomo, Indomod, Indoptic, Indoptol, Indorektal, Indoxen, Inflazon, Infrocin, Inteban Sp, Lausit, Liometacen, Metacen, Metartril, Methazine, Metindol, Miametan, Mikametan, Mobilan, Novo-Methacin, Novomethacin, Nu-Indo, Reumacide, Rhemacin La, Rheumacin La, Sadoreum, Tannex, Vonum	small molecule	approved	Anti-inflammatory Agents, Cyclooxygenase Inhibitors, Tocolytic Agents, Cardiovascular Agents, Nonsteroidal Anti-inflammatory Agents (NSAIAs), Gout Suppressants	7
DB00330	Ethambutol	Aethambutolum, D-Ethambutol, EMB, Etambutol [INN-Spanish], Etambutolo [DCIT], Ethambutol dihydrochloride, Ethambutol HCL, Ethambutol Hydrochloride, Ethambutol, racemic mixture, Ethambutolum [INN-Latin]	74-55-5	Dadibutol, Diambutol, Etibi, Myambutol, Tibutol	small molecule	approved	Antitubercular Agents	3
DB00331	Metformin	Metformin HCL, metformin hydrochloride	657-24-9	Apo-Metformin, Fortamet, Gen-Metformin, Glucophage, Glucophage XR, Glumetza, Glycon, Mylan-Metformin, Novo-Metformin, Nu-Metformin, PMS-Metformin, Ran-Metformin, Ratio-Metformin, Riomet, Sandoz Metformin, Teva-Metformin	small molecule	approved	Antidiabetic	1
DB00332	Ipratropium bromide	Ipatropium Bromide, ipratropium, N-Isopropylatropine	60205-81-4	Aerodose, Aerovent, Apo-Ipravent, Apovent, Atronase, Atrovent, Atrovent Aerosol, Atrovent HFA, Atrovent Nasal, Bitrop, Disne-Asmol, Ipravent, Ipvent, Kendral-Ipratropium, Narilet, Rhinotrop, Rhinovent, Rinatec, Rinoberen, Rinovagos, Vagos	small molecule	approved	Bronchodilator Agents, Antispasmodics, Cholinergic Antagonists, Antimuscarinics	3
DB00333	Methadone	(+/-)-Methadone, (+/-)-Methadone hydrochloride, dl-Methadone, DL-Methadone hydrochloride, Methadon, Methadone HCL, Methadone hydrochloride, Phenadone hydrochloride	76-99-3	(+/-)-Tussal, Adanon, Adanon hydrochloride, Adolan, Algidon, Algolysin, Algovetin, Althose hydrochloride, Amidon, Amidone, Biscuits, Butalgin, Depridol, Diaminon, Diaminon hydrochloride, Dollies, Dolly, Dolofin hydrochloride, Dolohepton, Dolophin, Dolophin hydrochloride, Dolophine, Dolophine HCL, Fenadon, Fenadone, Heptadon, Heptadone, Heptanon, Ketalgin, Ketalgin hydrochloride, Mecodin, Mephenon, Methadone HCL Intensol, Methadone M, Methadose, Methaquaione, Miadone, Moheptan, Phenadone, Physeptone, Polamidon, Polamidone, Tussol, Westadone	small molecule	approved	Narcotics, Analgesics, Opiate Agonists, Antitussives, Analgesics, Opioid, Antitussive Agents	4
DB00334	Olanzapine	N/A	132539-06-1	Olansek, Symbyax, Zydis, Zyprexa, Zyprexa Intramuscular, Zyprexa Zydis	small molecule	approved	Antiemetics, Antipsychotics, Antipsychotic Agents, Serotonin Uptake Inhibitors	25
DB00335	Atenolol	N/A	29122-68-7	Aircrit, Alinor, Altol, Anselol, Antipressan, Apo-Atenolol, Atcardil, Atecard, Atehexal, Atenblock, Atendol, Atenet, Ateni, Atenil, Atenol, Atenol 1A Pharma, Atenol Acis, Atenol AL, Atenol Atid, Atenol Cophar, Atenol CT, Atenol Fecofar, Atenol Gador, Atenol Genericon, Atenol GNR, Atenol Heumann, Atenol MSD, Atenol NM Pharma, Atenol Nordic, Atenol PB, Atenol Quesada, Atenol Stada, Atenol Tika, Atenol Trom, Atenol Von CT, Atenol-Mepha, Atenol-Ratiopharm, Atenol-Wolff, Atenolin, Atenomel, Atereal, Aterol, Betablok, Betacard, Betasyn, Betatop GE, Blocotenol, Blokium, Cardaxen, Cardiopress, Corotenol, Cuxanorm, Duraatenolol, Duratenol, Evitocor, Farnormin, Felo-Bits, Hipres, Hypoten, Ibinolo, Internolol, Jenatenol, Juvental, Lo-Ten, Loten, Lotenal, Myocord, Normalol, Normiten, Noten, Oraday, Ormidol, Panapres, Plenacor, Premorine, Prenolol, Prenormine, Prinorm, Scheinpharm Atenol, Seles Beta, Selobloc, Serten, Servitenol, Stermin, Tenidon, Teno-Basan, Tenobloc, Tenoblock, Tenolol, Tenoprin, Tenormin, Tenormine, Tensimin, Tredol, Unibloc, Uniloc, Vascoten, Vericordin, Wesipin, Xaten	small molecule	approved	Antihypertensive Agents, Adrenergic Agents, Adrenergic beta-Antagonists, Sympatholytics, Antiarrhythmic Agents, Anti-Arrhythmia Agents	1
DB00336	Nitrofurazone	NFZ, Nitrofurazan	59-87-0	Actin-N, Aldomycin, Alfucin, Amifur, Babrocid, Becafurazone, Biofuracina, Biofurea, Chemofuran, Chixin, Cocafurin, Coxistat, Dermofural, Dymazone, Dynazone, Eldezol, Eldezol F-6, Fedacin, Flavazone, Fracine, Furacilin, Furacillin, Furacin, Furacin Soluble Dressing, Furacin Topical Cream, Furacin Topical Solution, Furacin-E, Furacin-HC, Furacine, Furacinetten, Furacoccid, Furacort, Furacycline, Furaderm, Furagent, Furalcyn, Furaldon, Furalone, Furametral, Furan-Ofteno, Furaplast, Furaseptyl, Furaskin, Furatsilin, Furaziline, Furazin, Furazina, Furazol W, Furazone, Furazyme, Furesol, Furfurin, Furosem, Fuvacillin, Hemofuran, Ibiofural, Mammex, Mastofuran, Monafuracin, Monafuracis, Monofuracin, Nefco, NF-7, Nifucin, Nifurid, Nifuzon, Nitrofural, Nitrofuran, Nitrofurane, Nitrofurol, Nitrozone, Otofural, Otofuran, Sanfuran, Spray-Dermis, Spray-Foral, Vabrocid, Vadrocid, Yatrocin	small molecule	approved	Anti-Infective Agents, Anti-Infective Agents, Local, Trypanocidal Agents, Anti-Infective Agents, Urinary	4
DB00337	Pimecrolimus	ASM 981, SDZ ASM 981	137071-32-0	Elidel	small molecule	approved	Enzyme Inhibitors, Dermatologic Agents, Immunosuppressive Agents	2
DB00338	Omeprazole	OMEP, Omeprazol [INN-Spanish], Omeprazole magnesium, Omeprazolum [INN-Latin], OMZ	73590-58-6	Antra, Audazol, Aulcer, Belmazol, Ceprandal, Danlox, Demeprazol, Desec, Dizprazol, Dudencer, Elgam, Emeproton, Epirazole, Erbolin, Exter, Gasec, Gastrimut, Gastroloc, Gibancer, Indurgan, Inhibitron, Inhipump, Lensor, Logastric, Lomac, Losec, Mepral, Miol, Miracid, Mopral, Morecon, Nilsec, Nopramin, Ocid, Olexin, Omapren, Omebeta 20, Omed, Omegast, Omepral, Omeprazon, Omeprol, Omesek, Omezol, Omezolan, Omid, Omisec, Omizac, Ompanyt, Ortanol, Osiren, Ozoken, Paprazol, Parizac, Pepticum, Pepticus, Peptilcer, Prazentol, Prazidec, Prazolit, Prilosec, Procelac, Proclor, Prysma, Ramezol, Regulacid, Result, Sanamidol, Secrepina, Tedec Ulceral, Ulceral, Ulcesep, Ulcometion, Ulcozol, Ulcsep, Ulsen, Ultop, Ulzol, Victrix, Zefxon, Zegerid, Zepral, Zimor, Zoltum	small molecule	approved	Anti-Ulcer Agents, Enzyme Inhibitors, Proton-pump Inhibitors	1
DB00339	Pyrazinamide	Pirazimida, Pirazinamid, Pyrazinamdie, Pyrazine carboxylamide, Pyrazineamide, Pyrazinecarboxamide, Pyrazinecarboxylic acid amide, Pyrazinoic acid amide, PZA	98-96-4	Aldinamid, Aldinamide, Braccopiral, Corsazinmid, Dipimide, Eprazin, Farmizina, Isopas, Lynamide, Novamid, Pezetamid, Piraldina, pms-Pyrazinamide, Prazina, Pyrafat, Pyramide, Pyrazide, Pyrazinamide BP 2000, Rozide, Tebrazid, Tebrazio, Unipyranamide, Zinamide, Zinastat	small molecule	approved	Antitubercular Agents	1
DB00340	Metixene	Methixen [German], Methixene, Methixene hydrochloride, Metisene [DCIT], Metixene hydrochloride, Metixeno [INN-Spanish], Metixenum [INN-Latin]	4969-02-2	Atosil, Contalyl, Methixart, Tremaril, Tremaril hydrochloride, Tremonil, Trest	small molecule	approved	Antiparkinson Agents, Muscarinic Antagonists	5
DB00341	Cetirizine	Cetirizina [Spanish], Cetirizinum [Latin], Cetrizine Hcl	83881-51-0	Alerlisin, Cetryn, Formistin, Hitrizin Film Tablet, Reactine, Setir, Virlix, Ziptek, Zirtek, Zyrlex, Zyrtec, Zyrtec Syrup, Zyrtec-D	small molecule	approved	Anti-Allergic Agents, Antihistamines, Histamine H1 Antagonists, Non-Sedating	1
DB00342	Terfenadine	Ternadin	50679-08-8	Aldaban, Allerplus, Cyater, Seldane, Teldane, Teldanex, Terdin, Terfex, Triludan	small molecule	approved, withdrawn	Antiarrhythmic Agents, Anti-Allergic Agents, Antihistamines, Histamine H1 Antagonists, Non-Sedating	3
DB00343	Diltiazem	d-cis-Diltiazem	42399-41-7	Acalix, Adizem, Altiazem, Anginyl, Angizem, Anoheal, Apo-Diltiaz, Britiazim, Bruzem, Calcicard, Cardizem, Cardizem CD, Cardizem SR, Cardizen LA, Cartia XT, Citizem, Cormax, Deltazen, Dilacor, Dilacor-XR, Diladel, Dilcontin, Dilpral, Dilrene, Dilt-cd, Dilta-Hexal, Diltia, Dilticard, Dilzem, Dilzen, Endrydil, Herbesser, Incoril AP, Masdil, Novo-Diltazem, Nu-Diltiaz, Syn-Diltiazem, Tiamate, Tiazac, Tiazac Tildiem, Tiazac XC, Viazem	small molecule	approved	Antihypertensive Agents, Vasodilator Agents, Calcium Channel Blockers, Cardiovascular Agents	1
DB00344	Protriptyline	Protryptyline	438-60-8	Triptil, Vivactil	small molecule	approved	Adrenergic Uptake Inhibitors, Antidepressive Agents, Tricyclic, Norepinephrine-Reuptake Inhibitors, Antidepressive Agents	2
DB00345	Aminohippurate	Aminohippurate Sodium, Aminohippuric acid, Aminohippuric acid Sodium salt, PAH, para-Aminohippurate, Sodium p-aminohippurate, Sodium para-Aminohippurate	94-16-6	N/A	small molecule	approved	Diagnostic aids, Indicators and Reagents	0
DB00346	Alfuzosin	Alfusosine	81403-80-7	Uroxatral, Xatral	small molecule	approved	Antihypertensive Agents, Adrenergic alpha-Antagonists	3
DB00347	Trimethadione	Trimetadione, Trimethadion, Trimethdione	127-48-0	Absentol, Absetil, Convenixa, Convexina, Edion, Epidione, Epidone, Epixal, Etydion, Mino-Aleviatin, Minoaleuiatin, Minoaleviatin, Neo-Absentol, Petidion, Petidon, Petilep, Petimalin, Pitmal, Ptimal, Tioxanona, Tredione, Tricione, Tridilona, Tridion, Tridione, Tridone, Trilidona, Trimedal, Trimedone, Trimethin, Trimetin, Trioxanona, Triozanona, Tromedone, Troxidone	small molecule	approved	Anticonvulsants	1
DB00348	Nitisinone	N/A	104206-65-7	Orfadin	small molecule	approved	Enzyme Inhibitors	1
DB00349	Clobazam	N/A	22316-47-8	Chlorepin, Clorepin, Frisium, Mystan, Urbadan, Urbanyl	small molecule	illicit, approved	Anticonvulsants, Benzodiazepines	19
DB00350	Minoxidil	Minossidile [Italian], Minoxidilum [INN-Latin]	38304-91-5	Alopexil, Alostil, Apo-Gain, Gen-Minoxidil, Loniten, Lonolox, Minodyl, Minoxigaine, Minoximen, Normoxidil, Pierminox, Prexidil, Regaine, Rogaine, Rogaine Extra Strength for Men, Rogaine for Men, Rogaine for Women, Theroxidil, Tricoxidil, Trocoxidil	small molecule	approved	Antihypertensive Agents, Vasodilator Agents	2
DB00351	Megestrol	Megestrol Acetate, Megestrolo [DCIT], Megestrolum [INN-Latin], Megestryl acetate, MGA	3562-63-8	Magestin, Megace, Megeron, Niagestin, Ovaban, Ovarid	small molecule	approved	Antineoplastic Agents, Hormonal, Contraceptives, Oral, Synthetic	2
